"","x"
"1",94750416.28932
"2",3089.12404807948
"3",2298.46114444423
"4",2244.89559763646
"5",1797.08738982058
"6",814.239000188854
"7",292.305631183443
"8",256.920796479629
"9",247.050155050972
"10",181.714953691178
"11",70.3766867666821
"12",55.5778506997002
"13",16.8645760789538
"14",15.423426412417
"15",9.40766347010689
"16",7.54731616276725
"17",6.22379138192873
"18",5.23999464727652
"19",4.85046580584827
"20",4.53225881863446
"21",4.39215926478958
"22",3.99170966356402
"23",3.22742289764265
"24",2.99522201123089
"25",2.66182321406635
"26",2.15770551421363
"27",0.410156235578533
"28",0.30195490250359
"29",0.215576525772288
"30",0.0254748915685332
"31",0.00208667043159975
"32",0.00128708473852323
"33",0.000172351473966751
